url_path,views_total,views_unique
/timmalich/edukiz,51,31
/timmalich/edukiz/commits/main,7,2
/timmalich/edukiz/tree/main/src,4,4
/timmalich/edukiz/branches,3,1
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/cat1.svg,2,2
/timmalich/edukiz/fork,2,2
/timmalich/edukiz/issues,2,2
/timmalich/edukiz/tree/main/original_svg_images_which_are_to_huge,2,2
/timmalich/edukiz/tree/main/scripts,2,2
/timmalich/edukiz/commit/67a0d18d2d85fcf822f55418ea816e70bdebd571,2,1
